title,text
"황치열의 17년 팬 ""우울증에 빠졌을 때 형의 '고해' 듣고 힐링"" (컬투쇼)","이에 김태균이 ""황치열 씨를 좋아하게 된 계기가 뭐였냐?""라고 묻자 그 방청객은 ""황치열 형의 노래가 나올 때쯤 집안에 안 좋은 일이 너무 많아서 우울증에 빠져 있었다. 그런데 '연인'이라는 드라마에서 황치열 형의 OST가 나왔다. 그 노래를 듣고 힐링이 되어 한 번쯤 공연을 직접 보러 가야겠다 생각하다가..."
"미스터마인드 AI 돌봄 로봇, 함평군 어르신들 우울증 감소 도모","함평군이 미스터마인드(대표 김동원)의 인공지능 돌봄 로봇 도입으로 어르신들의 우울증 감소를 이끌었다. 앞서 함평군은 어르신 돌봄 서비스의 공백과... 함평군 내 돌봄인형을 사용하는 전체 홀몸 어르신들 중 심한 우울증 증상을 갖고 계신 분은 전체 인원 중 30%, 가벼운 우울증을 가진 분은 40%로 총 70%의..."
"겨울밤 길어졌지만 ""난 잠 못자는 '불면증'""","우울증이나 불안장애, 수면무호흡증, 주기성 사지 운동증, 하지불안증 등의 질환으로 인해 불면증이 생기는 경우가 있다. 이때는 해당 질환에 대한 치료를 선행해야한다. 이대서울병원 수면센터 정신건강의학과 김선영 교수는 ""특별한 원인 없이 수면에 대한 강박이나 집착으로 인해 오히려 불면증이 생기도 한다..."
"[굿모닝브리핑] '젊은 치매', 유전자보다 술·우울증이 더 위험","젊은 치매, 유전자보다도우울증과 술이 더 위험하다는 제목입니다. 네덜란드와 영국 대학 연구팀이영국인 35만여 명을 추적 관찰하면서 주요 위험인자를 규명했습니다. 총 12가지로 제시돼 있는데 일어섰을 때 어지럼증을 느끼는 기립성 저혈압을 비롯해서 우울증, 알코올 의존 및 남용,뇌졸중 등이..."
"[종합] 송은이, 우울증 초기 증상 보여 “월급 500만원이 꿈이었는데“(‘비보...","방송인 송은이가 눈물을 보였다. 지난 26일 유튜브 채널 '비보TV'에 공개된 '심리 상담받고 눈물 콧물 쏙 뺀 송쎄오'에서는 CEO 송은이의 하루가 그려졌다. 이날 직원들은 송은이를 위해 그림 심리 검사를 준비했다. 15분 동안 열심히 그린 송은이는 ""상담을 통해 얻고 싶은 건""이라는 질문에 ""잘 늙는 법에 대해..."
게임으로 우울증을 치료할 수 있을까,"게임이 우울증 등 정신질환에 긍정적인 치료 효과를 보인다는 논문이 최근 국제학술지 '프론티어 인 싸이키아트리(Frontiers in Psychiatry)'를 통해 발표됐다. 해당 논문은 독일 본 대학교 정신과 및 심리치료학과의 모리츠 버그만, 알렉산드라 필립슨 등이 작성한 것으로 '슈퍼 마리오 오디세이'를 이용한 우울증..."
"‘돌싱포맨’ 김광규, 절친 최성국 결혼에 우울증... “아들 너무 귀여워”",이상민은 “절친 최성국 씨 결혼 소식에 반년을 우울증을 앓았다”고 밝혔다. 김광규는 “예 그랬다”며 멍하니 있기도. 그러면서 그는 “이제 적응이 되려고 하는데 얼마 전에 아들을 낳았다. 근데 아기도 너무 귀여운 거다”며 부러움을 드러냈다. 그 말을 듣던 임원희는 “저도 성국이가 제 친구라 상처를...
"충고나 비난 대신, “네 편이야”… 우울증 걸린 사람 돕고 싶다면?","가족이나 친구가 우울증에 걸렸다면 어떻게 대해야 할까? 전문가들은 ""우울증에 걸린 사람을 돕는 가장 좋은 방법은 그들 입장에서 들어 주고 이해하는 일""이라고 강조한다. 특히 상대방의 말을 잘 들어주고 비난이나 충고를 함부로 하지 않는 것이 중요하다. 우울증에는 두 가지 유형이 있다. 힘든 일이 생기면..."
"내가 보낸 문자, 톡, 대화로 스마트폰이 우울증 진단 [과학 한스푼]","우울증 겪는 사람들은 계속 늘고 있지만, 정신과 병원 진료를 꺼리는 분위기 역시 사라지지 않고 있는데요. 그런데 국내 연구진이 평소 스마트폰을 사용할 때 쓰는 언어 습관을 자동으로 분석해 정신건강 상태를 알려주는 인공지능을 개발했습니다. 취재에 양훼영 기자입니다. [기자] 지난해 우울증으로 병원을..."
"직장 내 괴롭힘 우울증, 남성이 여성보다 1.6배 높아","직장 내 괴롭힘을 경험한 근로자의 우울증 발병이 여성보다 남성에 더 큰 영향을 미친다는 연구 결과가 나왔다. 강북삼성병원 정신건강의학과 조성준... 우울증은 우울증 척도 검사에서 16점 이상인 경우로 판단했으며, 직장 내 괴롭힘은 최근 6개월 기준 직장에서 괴롭힘(의도적 모욕, 희롱, 폭언 등)이나..."
밤에 조명 많이 받으면 우울증 위험 30% 증가,"밤에 인공 조명에 많이 노출되면 우울증 위험이 30% 증가한다는 연구 결과가 나왔다. 낮 동안 햇빛을 충분히 받는 것이 정신 건강에 긍정적인 영향을... 연구 결과, 낮 시간에 햇빛에 많이 노출된 사람들은 우울증 위험이 20% 감소한 것으로 나타났다. 반면, 밤 시간에 인공 조명에 많이 노출된 사람들은 우울증..."
‘이 버섯’ 섭취하니 우울증 나았다?,"버섯 속 환각 화학물질인 ‘실로시빈’이 암환자와 우울증 환자의 우울 증상 완화 효과가 있다는 연구 결과가 나왔다. 실로시빈은 미국, 남미, 멕시코 등에서 자라는 버섯에 포함되어 있다. 국내에서는 마약류 관리법상 향정신성 의약품에 해당한다. 미국 선스톤 테라피 연구팀이 암, 우울증 앓고 있는 성인..."
"""조부모님 찾고 싶어"" 살해·가정폭력·우울증에 노출된 19살 사연자의 부탁(...","25일 방송된 KBS JOY ‘무엇이든 물어보살’에서는 여러 불우한 사연에 놓여 우울증과 트라우마를 겪고 있다는 사연자가 나타났다. 사연자는 ""제가 4살 때 어머니가 돌아가셨다. 그 이후로 아버지께 가정 폭력을 당했었다""라 운을 뗐다. 또한 ""그 이후로 아버지가 돌아가신 후, 우울증과 트라우마가 생겼다. 앞으로..."
"밝은 곳에 있어야 우울증 안 온다? ""밤에는 반대""","연구 결과 밤에 많은 양의 조명에 노출된 사람들은 우울증 위험이 30% 증가한 반면, 낮에 많은 양의 햇빛에 노출된 사람들은 우울증 위험이 20% 감소했다. 자해 행동, 정신병, 조울증, 범불안장애, 외상 후 스트레스 장애에서도 비슷한 결과가 나타났다. 야간 조명 노출의 영향은 인구통계학적 특성, 신체 활동..."
해마다 찾아오는 '연말우울증' 해결법은 고정관념 탈피,많지 않을 것 같지만 실제로 다수가 느끼는 감정이며 연말우울증으로도 부른다. 전문가들에 따르면 연말우울증 발생 요인으로 4가지를 꼽는다. 첫 번째는 연말에 다른 사람들과 어울리고 싶은데 그렇지 못할 경우 발생하는 실망감이다. 정신적 스트레스를 받고 누적되면서 우울한 감정으로 이어질 수 있다. 두...
'금연도시 세종' 음주·흡연율 전국 최저…우울증 유병률은 최고,"세종시민의 음주·흡연율이 전국에서 가장 낮은 반면 우울증상 유병률 등 정신건강 지표는 최하위 수준인 것으로 나타났다. 20일 세종시가 발표한... 정신건강을 나타내는 지표인 스트레스 인지율과 우울감 경험률, 우울증 유병률은 각각 25.8%, 8.8%, 5.2%로 전국에서 두 번째로 높았다. 우울증 유병률..."
"[종합] 가정 폭력 父·살해 당한 母, 장애 형제까지…서장훈, 19살 사연녀에 ...",후 우울증을 극복하기 위해 찾아온 사연자가 출연했다. 4살 때 어머니가 돌아가신 이후로 아버지한테 가정 폭력을 당해오다 중학교 1학년 때 아버지가 돌아가시고 나서 우울증과 트라우마를 앓게 됐다고 밝힌 사연자는 “엄마 어떻게 돌아가셨는지 기억나?”라는 이수근의 질문에 눈물을 흘리며 “아버지께...
매일 먹는 '이 약'… 입 냄새 고약하게 한다,입 냄새를 유발할 수 있는 대표적인 약은 고혈압약과 우울증약이다. 두 종류의 약 모두 침 분비량을 줄이기 때문에 입 냄새가 심해질 수 있다. 정상적인... 특히 이미프라민 성분의 1세대 우울증약을 먹었을 때 입의 건조함을 느끼기 쉽다. 우울증 약을 먹었을 때 입이 자꾸 마르고 입 냄새가 심해지면 성분을...
올해 가정 관련 핫이슈… 외로움·우울증·저출산,가정사역단체 하이패밀리(공동대표 송길원 김향숙)가 가정 관련 핫이슈를 선별해 꼽은 올해 10대 뉴스 가운데 3건은 ‘외로움·우울증’ 등 단절된 관계... 하이패밀리는 또 ‘100만명을 넘어선 국내 우울증 환자’ ‘90% 폭증한 어린이 우울증 환자’ 등을 핫이슈로 선정했다. 한국사회의 세대 구조 재편...
연말연시증후군 vs 계절성우울증 차이를 아시나요?,연말연시에는 우울감을 느끼기 쉽지만 실제로 문제되는 것은 계절성우울증이다. 특히 겨울철우울증은 일조량 감소와 연관이 깊어 규칙적인 운동을 통해 햇볕을 쬐는 것이 좋다(사진=클립아트코리아). 연말연시를 맞아 어둑해진 거리에는 다채로운 불빛과 왁자지껄함으로 가득하다. 하지만 거리의 축제...
"""우울증 환자 노리는 파킨슨병, 운동 지속 땐 위험 '뚝'""",이런 파킨슨병 발병에 영향을 미치는 선행 질환 중 하나로 우울증이 꼽힌다. 여러 연구에서 우울증이 있는 사람에게 파킨슨병이 생길 위험은 그렇지 않은 경우보다 최대 3.2배까지 높았다. 또 파킨슨병 환자 10명 중 1명은 우울증이 먼저 찾아왔다는 보고도 있다.그런데 우울증이 생겼더라도 하던 운동을...
"숨진 기간제 교사, 학부모 폭언에 우울증 앓았다",지난 1월 숨진 초등학교 기간제교사 A씨가 학부모의 폭언으로 인해 우울증을 앓았던 것으로 확인됐다. A씨의 유가족은 지난 7월 서울시교육청... 서울시교육청은 A씨가 지난해 3~8월 기간제교사로 근무하는 동안 과도한 민원과 학부모 폭언으로 우울증을 앓다 숨진 것으로 확인됐다고 밝혔다. 서울시교육청...
젊은 우울증 환자 급증…초치료에 SSRI 활용도 커져,"최근 우울증으로 병원을 찾는 젊은 환자가 급증하고 있다. 이 가운데 임상현장에서의 약물 치료로 선택적 세로토닌 재흡수 억제제(SSRI)의 활용도도 점차 커지는 양상이다. 대표적인 약제로는 한국룬드벡의 렉사프로(에스시탈로프람옥살산염)가 대표적.27일 건강보험심사평가원 자료에 따르면, 전체 우울증..."
잦은 회식과 야근 많은 연말의 적은 ‘불면증’,"우울증이나 불안장애, 수면무호흡증, 주기성 사지 운동증, 하지불안증 등의 질환으로 인해 불면증이 생기는 경우가 있다. 이때는 해당 질환에 대한 치료를 선행해야한다. 이대서울병원 수면센터 정신건강의학과 김선영 교수는 “특별한 원인 없이 수면에 대한 강박이나 집착으로 인해 오히려 불면증이 생기도..."
[신간] 우울증에는 똥이 특효일까…신간 '똥이 약이다',건강한 사람의 대변 속 미생물이 우울증과 알츠하이머 등 현대 유행병을 치료할 수 있는 열쇠가 될 수 있다는 가능성을 제시한다. 똥으로 병을 치료할 수... 정신과 의사인 저자는 중년에 시작되는 우울증과 무기력증의 원인은 전두엽의 기능부전 때문이라고 진단한다. 20대 중반에 완성되는 전두엽은 대뇌...
[Doctor's Mail] 우울증이 있는 남자친구를 어떻게 도와줘야 할까요?,"사랑하는 사람이 요즘 우울증을 심하게 겪고 있어서 사연을 남깁니다. 남자친구와 만난 지는 1년 정도 되었고, 처음 만났을 때도 우울하고 다운되어 보이는 모습이 있기는 했지만 증상이 이렇게 심하지는 않았습니다. 그런데 최근 남자친구에게 힘든 일이 생기면서 우울증이 더 심해지고 있는 것 같습니다. 늘..."
"'인스타 여신' 시소, 신곡 '물속에' 발표...우울증 치료하는 달달 음색","지난 27일, 싱어송라이터 시소(siso)의 신곡 '물속에'가 발매됐다. 시소는 지난 27일 오후 6시 각종 음원사이트를 통해 새 싱글 '물속에'를 발매해 신비로움 가득한 분위기로 리스너의 감성을 저격했다. 시소의 이번 신곡 '물속에'는 잔잔하면서도 마치 물 속에 잠겨있는 듯한 소리로 시작된다. 이어지는 멜로디를..."
"""살해당한 엄마·가정폭력 아빠·장애 있는 형제까지""...우울증 앓는 19살 소...","지난 25일 방송된 KBS Joy '무엇이든 물어보살'에서는 19세 소녀가 살해된 엄마, 가정폭력을 일삼는 아빠로 인한 우울증과 트라우마를 호소했다.이날 고민인은 ""4살에 어머니가 돌아가신 이후로 아버지에게 가정폭력을 당했다. 아버지가 14살 때 돌아가셨는데 그 뒤로 우울증과 트라우마를 앓게 됐다. 앞으로..."
"""우울증 위험 상태!"" 스마트폰으로 진단","스마트폰을 일상에서 사용하기만 해도 우울증 위험 정도를 척척 알려주는 인공지능 기술이 등장했습니다.대전문화방송 김윤미 기자가 보도합니다. (기자) 국민건강보험공단이 밝힌 지난해 국내 우울증 환자 수는 100만 700여 명, 처음으로 100만 명을 넘어섰습니다.지난 2018년과 비교해 불과 4년 만에 30% 이상..."
"살해母+가정폭력父+장애형제, 19세 소녀에 서장훈 “나라도 우울증” (물어보...","12월 25일 방송된 KBS JOY ‘무엇이든 물어보살’에서는 19세 고3 고민녀가 살해된 엄마, 아빠의 가정폭력으로 인한 우울증과 트라우마를 호소했다. 고민녀는 “4살 때 어머니가 돌아가셨다. 그 이후로 아버지에게 가정폭력을 좀 당했다. 그 이후로 아버지가 중학교 1학년 때 돌아가시고 우울증에 걸렸다...."
"전남도민, 우울증 전국 최저",빅터뉴스 박형주 기자 전남도민들은 상대적으로 우울증 경험 비율이 낮은 반면 고혈압이나 당뇨 등에 걸리는 비율은 높은 것으로 나타났다. 전라남도에 따르면 질병관리청은 지난 7월까지 3개월간 전국 만 19세 이상 성인 1만 9천여 명을 방문 조사해 발표한 '2023년 지역사회건강조사' 결과를 최근...
"추운 겨울 갱년기 겪는 중년들, 발기부전 덩달아 다가와","갱년기 우울증을 겪는 남성들이 많은데 이러한 상황 속에서 심인성 발기부전이 나타날 수 있다.”고 전했다. 갱년기는 흔히 중년 여성의 전유물과도 같은... 남성 갱년기의 증상은 우울증, 무기력감, 근력 및 지구력 약화 등이다. 가장 주목해야 할 것은 바로 발기부전 증상이다. 남성 갱년기 때에는 테스토스테론..."
[영상] “당근마켓 덕분에 산후우울증 극복했죠”…‘당근 99도’의 비결은?,"육아휴직 후 산후우울증까지 앓게 됐는데, (거래를 통해) 사람들과 만나며 조금이나마 극복할 수 있었습니다.” 4살 아이를 둔 정은수(33·여)씨는 10년 차... 공간 넓히려 시작한 당근…산후우울증 극복까지 5평 원룸과 18평의 신혼집. 정씨가 당근마켓을 시작한 계기는 바로 ‘좁은 공간’ 때문이다. 결혼 전..."
"이렇게 많이 버는데…""인스타·틱톡 청소년보호 적극할까""","인스타그램·틱톡 같은 소셜미디어 플랫폼들이 청소년들에게 외모에 대한 불만이나 우울증 등을 일으킬 수 있는 콘텐츠들을 계속 추천한다는 비판이 나오고 있다. 광고를 통해 수익을 얻는 비즈니스 모델을 갖고 있기 때문에, 체류 시간을 늘릴 수 있는 콘텐츠라면 계속 사용자에 맞춤형으로..."
아픈 엄마 돌보면 오히려 우울증 나아진다?...왜일까?,"하지만 병든 엄마를 돌보면 오히려 우울증을 누그러뜨리고 회복 탄력성을 높일 수 있다는 색다른 연구 결과가 나왔다. 미국 텍사스대 오스틴 캠퍼스... 연구팀은 ""가족 간병도 우울증의 위험 요인""이라는 생각에 의문을 품었다. 최근 연구 결과를 보면 간병인은 비간병인보다 더 오래 살며, 많은..."
"뇌속으로 침투하는 '극초미세먼지'…""정신질환까지 초래""",미세먼지 농도가 높아지면 우울증·주의력결핍 과잉행동장애(ADHD)·치매 등 정신질환 발생 위험이 높아진다. 특히 직경 100나노미터 이하(머리카락... 미세먼지는 우울증 악화 요인이기도 하다. 하루 미세먼지가 36.7㎍/㎥ 증가하면 우울증으로 응급실을 방문할 위험이 약 5~10% 증가(서울 기준)했다는 2005...
"버섯 유래 환각 물질 '실로시빈', 암 환자에서 우울증 완화에 도움",▲ 암 환자에서 실로시빈이 우울증 완화에 도움이 된다는 연구 결과가 나왔다. (사진=DB) 암 환자에서 ‘실로시빈(psilocybin)’이 우울증 완화에 도움이 된다는 연구 결과가 나왔다. 암 환자에서 실로시빈이 우울증 완화에 어떤 효과가 있는지 조사한 연구가 ‘종양학 저널(Cancer)’에 실렸다. 실로시빈은 일부...
[우울증] 노인 우울증의 발병에 영향을 미치는 요인,"정신의학신문 | 이규홍 정신건강의학과 전문의 나이와 무관하게 우울증은 누구에게나 찾아올 수 있습니다. 젊은 연령층에서 발생하는 우울증뿐만 아니라 상대적으로 소외된 노인의 우울증 또한 관심을 기울여야 합니다. 관련 연구에 따르면, 노인 우울증 발병에 영향을 미칠 수 있는 요인으로는 얼마나 많은..."
"김원훈 ""'개콘' 종영 후 우울증 앓아...지금 방송 재미없다"" 소신 발언 [인터...","방송이 폐지된 후 우울증이 조금 심하게 찾아왔었다. 한 3~4개월 은둔형 외톨이처럼 집에만 있었던 것 같다""라며 ""나뿐만 아니라 다른 개그맨들도 그랬겠지만 다들 암흑의 시기가 아니었을까 생각이 든다""라고 털어놨다. 우울증으로 인해 아무것도 할 수 없었다는 김원훈은 주위의 도움으로 암흑기를 벗어날 수..."
"""수세미오이, 근감소증 치료에 도움된다""","근감소증은 근골격계 뿐만 아니라 당뇨병, 심혈관 질환, 우울증과 같은 질환의 위험을 높인다. 심지어 근감소증을 겪는 퇴행성 디스크, 골관절염 등 근골격계 질환자의 경우 약해진 근육이 뼈와 관절을 제대로 지지하지 못해 일반 환자보다 사망률이 더 높다는 통계도 있다. 국내 한 대학의 연구에 따르면..."
"내가 보낸 문자, 톡, 대화로 스마트폰이 우울증 진단 [과학 한스푼]","우울증 겪는 사람들은 계속 늘고 있지만, 정신과 병원 진료를 꺼리는 분위기 역시 사라지지 않고 있는데요. 그런데 국내 연구진이 평소 스마트폰을 사용할 때 쓰는 언어 습관을 자동으로 분석해 정신건강 상태를 알려주는 인공지능을 개발했습니다. 취재에 양훼영 기자입니다. 지난해 우울증으로 병원을 찾은..."
"""육아 우울증 때 '가족센터' 큰 힘 됐죠""…우수사례 시상","세 아이를 키우는 결혼이민자의 자녀양육과 사회복지사 도전 사례, 결혼 후 낯선 곳에서 첫딸을 키우며 우울증으로 힘들고 지쳐있을 때 공동육아나눔터에서 극복한 사례, 취약위기 가족을 대상으로 서비스 수요 분석 및 맞춤형 사례관리를 지원한 우수프로그램 등을 소개한다. 내년도에 달라지는 가족서비스를..."
"노령인구 1천만, 우울증 1백만… ‘보건의료 영성 필요한 시대’","10대 뉴스는 ①10억 명 이상 ‘외롭다’ 답변 ②노령인구 1천만 시대 눈앞 ③인구절벽, 출산률 저하 ④접촉과 접속 공존하는 시대 ⑤우울증 환자 100만... 우울증 환자 1백만 명 시대 올해 국민건강보험공단에 따르면, 국내 우울증 환자가 100만 명을 넘어섰다. 특히 20대 여성 우울증 환자는 5년 전에 비교해..."
"""가족 부양이 어렵다면…軍 면제 신청하세요""","A씨는 부모를 부양 중 우울증으로 병원 치료를 받고 있었고, 사회활동·근로활동도 할 수 없는 상황이어서 '생계유지 곤란사유'로 군 면제를 받았다. 29일 병무청에 따르면 생계유지 곤란사유로 병역을 감면받은 병역의무자는 지난해 542명을 기록했다. 병역 감면 의무자 수는 △2018년 983명 △2019년 877명..."
"뇌까지 침투하는 '극초미세먼지'…""뇌 기능 떨어뜨려 위험""",뉴시스 제공 미세먼지 농도가 높아지면 우울증·주의력결핍 과잉행동장애(ADHD)·치매 등 정신질환 발생 위험이 높아지는 것으로 나타났다. 직경... 미세먼지는 우울증 악화 요인이기도 하다. 하루 미세먼지가 36.7㎍/㎥ 증가하면 우울증으로 응급실을 방문할 위험이 약 5~10% 증가(서울 기준)했다는 2005~2009년...
"""납치 후 살해된 母, 가정 폭력 父는 간경화로 사망"" 19세 사연녀 우울증 고백...",이날 방송에는 아내를 잃고 가정폭력을 일삼던 아버지가 돌아가시고 난 후 우울증을 극복하기 위해 찾아온 19세 사연자의 이야기도 방송된다. “4살 때... 사연자가 ‘무엇이든 물어보살’에 출연해 꼭 전하고 싶었던 얘기와 가정폭력 트라우마 우울증을 극복하고 어떻게 하면 잘 살 수 있을지 고민하는...
[게시판] 우울증·ADHD에 디지털 치료제 효과는…19일 한림원탁토론회,"▲ 한국과학기술한림원은 19일 경기 성남 한림원회관에서 우울증, 주의력 결핍 과잉행동장애(ADHD), 당뇨병, 만성 통증 등 적용이 확대되고 있는 디지털 치료제를 주제로 제218회 한림원탁토론회를 연다. 서영준 연세대 교수와 배민철 한국디지털헬스산업협회 사무국장 등이 디지털 치료제 사례와 기술, 상용화..."
신생아 살해 20대 친모 ‘우울증’ 사유 감형,"A 씨는 지난 1월 아기를 낳은 뒤 아기 아버지가 자신과 아기를 방치한다는 이유로, 두꺼운 이불을 잠든 아기 얼굴에 올려 질식해 숨지게 한 혐의로 재판에 넘겨졌습니다. 재판부는 A 씨의 죄질이 무겁다면서도 불안감과 우울증으로 우발적인 범죄를 저지른 것으로 보인다며 감형 이유를 밝혔습니다."
허재 “현역 때 인기 BTS 급.. 감독 은퇴 후 우울증 올 뻔”(4인용식탁)[종합...,"은퇴할 때 기분이 어땠냐”라고 물었고 허재는 “갱년기, 우울증이 없었다. 감독하면서 다 챙겨주니까. 감독 일이 끝나서 우울증이 올 뻔 했다. 농구 말고 할 줄 아는 게 없었다. 그때 마침 예능을 하게 되었다”라고 솔직하게 말했다. 우지원은 허재가 예능 프로그램에 출연한 후 좋은 쪽으로 바뀐 것 같다며..."
생활 속에서 우울증을 예방하고 줄일 수 있는 건강한 생활 습관 7가지,"최근 연구에서 7가지 건강한 생활 습관 요인이 우울증의 위험을 감소시키는 것으로 확인했다. 숙면, 규칙적인 신체활동, 잦은 사회적 관계, 금연, 음주 제한 등이 확인됐습니다. 연구원들은 우울증은 유전적 위험 요인보다 건강한 생활 습관 요인이 더 중요할 수 있다고 보고합니다. 신체활동, 사회적 연결, 좋은..."
[메디컬 인사이트 10회] 난치성 우울증 바로알기,▶ 난치성 우울증 정의 ▶ 우울증의 역사 ▶ 우울증의 증상 ▶ 우울증 발병 원인 ▶ 의미치료 창시자 ▶ 우울증의 심각성 ▶ 난치성 우울증 치료 방법 ▶ 우울증 예방법 ▶ 메디컬 인사이트 AI Q&A ▶ 이것만은 기억하자 ◆ 나경세 : 안녕하세요. 저는 정신건강의학과 전문의 나경세입니다. 오늘 제가 준비한 내용은...
"우울증 디지털치료기기 확증 임상시험, 삼성서울병원·한양대병원서 시작","과학기술정보통신부(이하 ‘과기정통부’, 장관 이종호)는 부처에서 개발 지원 중인 우울증 디지털 치료기기가 12월 19일 확증 임상시험을 시작한다고... 개발한 우울증 치료 목적의 디지털 치료기기이다. 과기정통부는 이번 연구과제를 통해 우울, 불안, 스트레스 등 마음건강 문제를 휴대폰 등 디지털 기기..."
부산시민 고위험 음주율 전년 대비 감소...우울증 경험 등 소폭 상승,"주관적 건강인지율(47.0%), 우울감 경험률(7.7%), 우울증상 유병률(4.2%) 등은 소폭 나빠졌다. 시는 이번 조사결과와 타 국가승인 건강통계를 보다 면밀히 분석해 부산지역의 건강지표 개선을 위한 정책 수립과 보건사업 수행에 활용할 계획이다. 특히 심뇌혈관질환 재발방지사업과 인공지능(AI) 기반..."
"'프렌즈' 매튜 페리 사인은 케타민 급성 영향... ""우울증 치료""","케타민은 우울증, 불안, 외상 후 스트레스 장애 및 기타 치료하기 어려운 정신 건강 문제에 대한 대체 요법으로 점점 인기를 얻고 있는 강력한... 불안, 우울증, PTSD(외상후 스트레스 장애) 등을 치료하는데 사용되며 주로 정맥 주사로 약물을 투약한다. 부검 보고서는 ""페리가 어떻게 투약했는지 알수 없다""고..."
