"행정구역","2022년_총인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율"
"대전광역시  (3000000000)","1,446,072","673,429","          2.15","721,245","724,827","          1.00"
"대전광역시 동구 (3011000000)","219,751","108,640","          2.02","110,590","109,161","          1.01"
"대전광역시 중구 (3014000000)","227,108","107,692","          2.11","111,703","115,405","          0.97"
"대전광역시 서구 (3017000000)","470,374","216,539","          2.17","230,998","239,376","          0.97"
"대전광역시 유성구 (3020000000)","356,093","160,305","          2.22","180,166","175,927","          1.02"
"대전광역시 대덕구 (3023000000)","172,746","80,253","          2.15","87,788","84,958","          1.03"
"울산광역시  (3100000000)","1,110,663","486,143","          2.28","570,368","540,295","          1.06"
"울산광역시 중구 (3111000000)","208,132","93,055","          2.24","105,257","102,875","          1.02"
"울산광역시 남구 (3114000000)","310,638","139,525","          2.23","158,374","152,264","          1.04"
"울산광역시 동구 (3117000000)","151,711","66,282","          2.29","79,162","72,549","          1.09"
"울산광역시 북구 (3120000000)","218,670","87,153","          2.51","112,993","105,677","          1.07"
"울산광역시 울주군 (3171000000)","221,512","100,128","          2.21","114,582","106,930","          1.07"
"세종특별자치시  (3600000000)","383,591","159,386","          2.41","191,389","192,202","          1.00"
"세종특별자치시  (3611000000)","383,591","159,386","          2.41","191,389","192,202","          1.00"
"경기도  (4100000000)","13,589,432","5,913,694","          2.30","6,839,276","6,750,156","          1.01"
"경기도 수원시 (4111000000)","1,190,964","528,482","          2.25","599,619","591,345","          1.01"
"경기도 수원시 장안구 (4111100000)","270,524","118,811","          2.28","136,095","134,429","          1.01"
"경기도 수원시 권선구 (4111300000)","367,446","161,085","          2.28","185,682","181,764","          1.02"
"경기도 수원시 팔달구 (4111500000)","192,610","95,950","          2.01","96,997","95,613","          1.01"
"경기도 수원시 영통구 (4111700000)","360,384","152,636","          2.36","180,845","179,539","          1.01"
"경기도 성남시 (4113000000)","922,518","408,195","          2.26","456,882","465,636","          0.98"
"경기도 성남시 수정구 (4113100000)","230,460","113,458","          2.03","116,886","113,574","          1.03"
"경기도 성남시 중원구 (4113300000)","210,505","100,139","          2.10","106,470","104,035","          1.02"
"경기도 성남시 분당구 (4113500000)","481,553","194,598","          2.47","233,526","248,027","          0.94"
"경기도 의정부시 (4115000000)","463,724","208,352","          2.23","228,107","235,617","          0.97"
"경기도 안양시 (4117000000)","548,228","227,475","          2.41","270,878","277,350","          0.98"
"경기도 안양시 만안구 (4117100000)","234,394","102,550","          2.29","117,092","117,302","          1.00"
"경기도 안양시 동안구 (4117300000)","313,834","124,925","          2.51","153,786","160,048","          0.96"
"경기도 부천시 (4119000000)","790,128","344,135","          2.30","391,102","399,026","          0.98"
"경기도 광명시 (4121000000)","287,945","118,493","          2.43","141,632","146,313","          0.97"
"경기도 평택시 (4122000000)","578,529","271,362","          2.13","303,283","275,246","          1.10"
"경기도 송탄출장소 (4122200000)","0","0","          0.00","0","0","          0.00"
"경기도 안중출장소 (4122400000)","0","0","          0.00","0","0","          0.00"
"경기도 동두천시 (4125000000)","91,546","43,973","          2.08","45,673","45,873","          1.00"
"경기도 안산시 (4127000000)","641,660","291,091","          2.20","328,940","312,720","          1.05"
"경기도 안산시 상록구 (4127100000)","344,664","156,033","          2.21","175,811","168,853","          1.04"
"경기도 안산시 단원구 (4127300000)","296,996","135,058","          2.20","153,129","143,867","          1.06"
"경기도 고양시 (4128000000)","1,076,535","461,459","          2.33","525,741","550,794","          0.95"
"경기도 고양시 덕양구 (4128100000)","490,088","216,683","          2.26","241,283","248,805","          0.97"
"경기도 고양시 일산동구 (4128500000)","296,122","128,567","          2.30","143,793","152,329","          0.94"
"경기도 고양시 일산서구 (4128700000)","290,325","116,209","          2.50","140,665","149,660","          0.94"
"경기도 과천시 (4129000000)","78,137","28,726","          2.72","38,416","39,721","          0.97"
"경기도 구리시 (4131000000)","188,701","80,424","          2.35","93,442","95,259","          0.98"
"경기도 남양주시 (4136000000)","737,353","304,288","          2.42","366,261","371,092","          0.99"
"경기도 풍양출장소 (4136200000)","0","0","          0.00","0","0","          0.00"
"경기도 오산시 (4137000000)","229,849","103,552","          2.22","119,646","110,203","          1.09"
"경기도 시흥시 (4139000000)","512,912","223,534","          2.29","267,861","245,051","          1.09"
"경기도 군포시 (4141000000)","266,213","113,878","          2.34","132,165","134,048","          0.99"
"경기도 의왕시 (4143000000)","160,221","64,839","          2.47","79,417","80,804","          0.98"
"경기도 하남시 (4145000000)","326,059","140,415","          2.32","162,773","163,286","          1.00"
"경기도 용인시 (4146000000)","1,074,971","432,151","          2.49","533,323","541,648","          0.98"
"경기도 용인시 처인구 (4146100000)","259,288","115,654","          2.24","133,113","126,175","          1.05"
"경기도 용인시 기흥구 (4146300000)","438,235","174,294","          2.51","216,180","222,055","          0.97"
"경기도 용인시 수지구 (4146500000)","377,448","142,203","          2.65","184,030","193,418","          0.95"
"경기도 파주시 (4148000000)","495,315","218,264","          2.27","251,334","243,981","          1.03"
"경기도 이천시 (4150000000)","222,721","102,618","          2.17","115,925","106,796","          1.09"
"경기도 안성시 (4155000000)","188,842","89,951","          2.10","97,581","91,261","          1.07"
"경기도 김포시 (4157000000)","484,267","202,189","          2.40","241,904","242,363","          1.00"
"경기도 화성시 (4159000000)","910,814","387,820","          2.35","473,507","437,307","          1.08"
"경기도 화성시동부출장소 (4159200000)","0","0","          0.00","0","0","          0.00"
"경기도 화성시동탄출장소 (4159400000)","0","0","          0.00","0","0","          0.00"
"경기도 광주시 (4161000000)","391,462","170,497","          2.30","199,707","191,755","          1.04"
"경기도 양주시 (4163000000)","243,432","106,361","          2.29","123,173","120,259","          1.02"
"경기도 포천시 (4165000000)","146,701","73,438","          2.00","77,707","68,994","          1.13"
"경기도 여주시 (4167000000)","113,150","53,946","          2.10","57,567","55,583","          1.04"
"경기도 연천군 (4180000000)","42,062","21,858","          1.92","22,113","19,949","          1.11"
"경기도 가평군 (4182000000)","62,150","32,140","          1.93","32,102","30,048","          1.07"
"경기도 양평군 (4183000000)","122,323","59,788","          2.05","61,495","60,828","          1.01"
"강원도  (4200000000)","1,536,498","755,481","          2.03","772,947","763,551","          1.01"
"강원도 춘천시 (4211000000)","286,664","133,668","          2.14","141,490","145,174","          0.97"
"강원도 원주시 (4213000000)","360,807","168,755","          2.14","178,880","181,927","          0.98"
"강원도 강릉시 (4215000000)","211,381","103,352","          2.05","104,845","106,536","          0.98"
"강원도 동해시 (4217000000)","89,426","43,251","          2.07","45,423","44,003","          1.03"
"강원도 태백시 (4219000000)","39,428","20,324","          1.94","19,881","19,547","          1.02"
"강원도 속초시 (4221000000)","82,806","41,193","          2.01","41,037","41,769","          0.98"
"강원도 삼척시 (4223000000)","63,455","33,715","          1.88","32,156","31,299","          1.03"
"강원도 홍천군 (4272000000)","67,977","34,510","          1.97","34,954","33,023","          1.06"
"강원도 횡성군 (4273000000)","46,532","23,767","          1.96","23,877","22,655","          1.05"
"강원도 영월군 (4275000000)","37,728","21,288","          1.77","19,509","18,219","          1.07"
"강원도 평창군 (4276000000)","40,990","21,927","          1.87","21,176","19,814","          1.07"
"강원도 정선군 (4277000000)","34,931","19,533","          1.79","18,264","16,667","          1.10"
"강원도 철원군 (4278000000)","42,256","20,605","          2.05","21,863","20,393","          1.07"
"강원도 화천군 (4279000000)","23,388","12,114","          1.93","12,560","10,828","          1.16"
"강원도 양구군 (4280000000)","21,383","10,609","          2.02","11,215","10,168","          1.10"
"강원도 인제군 (4281000000)","32,206","16,631","          1.94","17,529","14,677","          1.19"
"강원도 고성군 (4282000000)","27,274","15,291","          1.78","14,060","13,214","          1.06"
"강원도 양양군 (4283000000)","27,866","14,948","          1.86","14,228","13,638","          1.04"
"충청북도  (4300000000)","1,595,058","771,848","          2.07","810,782","784,276","          1.03"
"충청북도 청주시 (4311000000)","849,573","393,697","          2.16","429,208","420,365","          1.02"
"충청북도 청주시 상당구 (4311100000)","196,425","87,184","          2.25","97,585","98,840","          0.99"
"충청북도 청주시 서원구 (4311200000)","191,273","90,101","          2.12","95,469","95,804","          1.00"
"충청북도 청주시 흥덕구 (4311300000)","268,051","125,730","          2.13","136,332","131,719","          1.04"
"충청북도 청주시 청원구 (4311400000)","193,824","90,682","          2.14","99,822","94,002","          1.06"
"충청북도 충주시 (4313000000)","208,277","100,843","          2.07","105,478","102,799","          1.03"
"충청북도 제천시 (4315000000)","130,988","65,436","          2.00","65,833","65,155","          1.01"
"충청북도 보은군 (4372000000)","31,455","16,959","          1.85","15,877","15,578","          1.02"
"충청북도 옥천군 (4373000000)","49,520","25,415","          1.95","24,974","24,546","          1.02"
"충청북도 영동군 (4374000000)","44,956","23,794","          1.89","22,486","22,470","          1.00"
"충청북도 증평군 (4374500000)","37,262","18,583","          2.01","19,387","17,875","          1.08"
"충청북도 진천군 (4375000000)","86,147","42,398","          2.03","45,488","40,659","          1.12"
"충청북도 괴산군 (4376000000)","37,055","21,347","          1.74","19,082","17,973","          1.06"
"충청북도 음성군 (4377000000)","92,058","48,292","          1.91","48,849","43,209","          1.13"
"충청북도 단양군 (4380000000)","27,767","15,084","          1.84","14,120","13,647","          1.03"
"충청남도  (4400000000)","2,123,037","1,019,093","          2.08","1,086,632","1,036,405","          1.05"
"충청남도 천안시 (4413000000)","657,559","302,893","          2.17","336,716","320,843","          1.05"
"충청남도 천안시 동남구 (4413100000)","255,647","119,122","          2.15","129,680","125,967","          1.03"
"충청남도 천안시 서북구 (4413300000)","401,912","183,771","          2.19","207,036","194,876","          1.06"
"충청남도 공주시 (4415000000)","102,571","52,394","          1.96","51,231","51,340","          1.00"
"충청남도 보령시 (4418000000)","97,157","49,694","          1.96","49,237","47,920","          1.03"
"충청남도 아산시 (4420000000)","334,539","152,249","          2.20","174,333","160,206","          1.09"
"충청남도 서산시 (4421000000)","176,413","82,433","          2.14","92,011","84,402","          1.09"
"충청남도 논산시 (4423000000)","112,617","58,137","          1.94","56,237","56,380","          1.00"
"충청남도 계룡시 (4425000000)","44,475","18,051","          2.46","22,166","22,309","          0.99"
"충청남도 당진시 (4427000000)","168,253","81,199","          2.07","89,606","78,647","          1.14"
"충청남도 금산군 (4471000000)","50,092","26,180","          1.91","25,315","24,777","          1.02"
"충청남도 부여군 (4476000000)","62,343","32,945","          1.89","30,970","31,373","          0.99"
"충청남도 서천군 (4477000000)","49,964","26,666","          1.87","24,709","25,255","          0.98"
"충청남도 청양군 (4479000000)","30,266","16,567","          1.83","15,421","14,845","          1.04"
"충청남도 홍성군 (4480000000)","98,068","46,871","          2.09","48,835","49,233","          0.99"
"충청남도 예산군 (4481000000)","77,385","39,605","          1.95","38,848","38,537","          1.01"
"충청남도 태안군 (4482500000)","61,335","33,209","          1.85","30,997","30,338","          1.02"
"전라북도  (4500000000)","1,769,607","855,849","          2.07","880,592","889,015","          0.99"
"전라북도 전주시 (4511000000)","651,495","296,241","          2.20","320,265","331,230","          0.97"
"전라북도 전주시 완산구 (4511100000)","332,573","153,551","          2.17","161,835","170,738","          0.95"
"전라북도 전주시 덕진구 (4511300000)","318,922","142,690","          2.24","158,430","160,492","          0.99"
"전라북도 전주시효자출장소 (4511800000)","0","0","          0.00","0","0","          0.00"
"전라북도 군산시 (4513000000)","262,467","123,176","          2.13","132,887","129,580","          1.03"
"전라북도 익산시 (4514000000)","273,697","130,068","          2.10","136,330","137,367","          0.99"
"전라북도 익산시함열출장소 (4514500000)","0","0","          0.00","0","0","          0.00"
"전라북도 정읍시 (4518000000)","105,081","54,528","          1.93","52,272","52,809","          0.99"
"전라북도 남원시 (4519000000)","77,948","39,799","          1.96","38,246","39,702","          0.96"
"전라북도 김제시 (4521000000)","81,455","43,215","          1.88","40,476","40,979","          0.99"
"전라북도 완주군 (4571000000)","92,422","45,356","          2.04","47,529","44,893","          1.06"
"전라북도 진안군 (4572000000)","24,550","13,513","          1.82","12,496","12,054","          1.04"
"전라북도 무주군 (4573000000)","23,489","12,932","          1.82","11,731","11,758","          1.00"
"전라북도 장수군 (4574000000)","21,336","11,611","          1.84","10,718","10,618","          1.01"
"전라북도 임실군 (4575000000)","26,508","14,992","          1.77","13,586","12,922","          1.05"
"전라북도 순창군 (4577000000)","26,727","14,132","          1.89","13,138","13,589","          0.97"
"전라북도 고창군 (4579000000)","52,338","28,592","          1.83","26,005","26,333","          0.99"
"전라북도 부안군 (4580000000)","50,094","27,694","          1.81","24,913","25,181","          0.99"
"전라남도  (4600000000)","1,817,697","907,710","          2.00","915,272","902,425","          1.01"
"전라남도 목포시 (4611000000)","216,939","104,039","          2.09","107,826","109,113","          0.99"
"전라남도 여수시 (4613000000)","274,765","128,720","          2.13","139,821","134,944","          1.04"
"전라남도 순천시 (4615000000)","278,737","124,828","          2.23","139,014","139,723","          0.99"
"전라남도 나주시 (4617000000)","116,456","59,865","          1.95","58,749","57,707","          1.02"
"전라남도 광양시 (4623000000)","152,168","68,734","          2.21","79,523","72,645","          1.09"
"전라남도 담양군 (4671000000)","45,792","24,787","          1.85","23,168","22,624","          1.02"
"전라남도 곡성군 (4672000000)","27,060","15,512","          1.74","13,386","13,674","          0.98"
"전라남도 구례군 (4673000000)","24,655","13,429","          1.84","12,052","12,603","          0.96"
"전라남도 고흥군 (4677000000)","61,880","35,445","          1.75","30,170","31,710","          0.95"
"전라남도 보성군 (4678000000)","38,471","22,282","          1.73","18,823","19,648","          0.96"
"전라남도 화순군 (4679000000)","62,024","32,093","          1.93","30,643","31,381","          0.98"
"전라남도 장흥군 (4680000000)","35,650","19,788","          1.80","17,402","18,248","          0.95"
"전라남도 강진군 (4681000000)","33,177","18,550","          1.79","16,128","17,049","          0.95"
"전라남도 해남군 (4682000000)","65,831","35,074","          1.88","32,772","33,059","          0.99"
"전라남도 영암군 (4683000000)","52,395","28,353","          1.85","27,359","25,036","          1.09"
"전라남도 무안군 (4684000000)","90,608","43,119","          2.10","45,607","45,001","          1.01"
"전라남도 함평군 (4686000000)","30,784","18,010","          1.71","15,539","15,245","          1.02"
"전라남도 영광군 (4687000000)","52,197","27,549","          1.89","26,081","26,116","          1.00"
"전라남도 장성군 (4688000000)","43,146","23,358","          1.85","22,162","20,984","          1.06"
"전라남도 완도군 (4689000000)","47,597","25,781","          1.85","24,017","23,580","          1.02"
"전라남도 진도군 (4690000000)","29,507","16,578","          1.78","14,684","14,823","          0.99"
"전라남도 신안군 (4691000000)","37,858","21,816","          1.74","20,346","17,512","          1.16"
"경상북도  (4700000000)","2,600,492","1,286,873","          2.02","1,311,881","1,288,611","          1.02"
"경상북도 포항시 (4711000000)","496,650","232,371","          2.14","251,630","245,020","          1.03"
"경상북도 포항시 남구 (4711100000)","227,486","109,532","          2.08","117,785","109,701","          1.07"
"경상북도 포항시 북구 (4711300000)","269,164","122,839","          2.19","133,845","135,319","          0.99"
"경상북도 경주시 (4713000000)","249,607","124,027","          2.01","124,909","124,698","          1.00"
"경상북도 김천시 (4715000000)","139,324","69,038","          2.02","69,900","69,424","          1.01"
"경상북도 안동시 (4717000000)","154,610","77,759","          1.99","76,447","78,163","          0.98"
"경상북도 구미시 (4719000000)","408,110","184,786","          2.21","209,909","198,201","          1.06"
"경상북도 영주시 (4721000000)","100,749","50,663","          1.99","49,920","50,829","          0.98"
"경상북도 영천시 (4723000000)","101,088","54,431","          1.86","51,406","49,682","          1.03"
"경상북도 상주시 (4725000000)","94,823","49,315","          1.92","46,660","48,163","          0.97"
"경상북도 문경시 (4728000000)","70,373","37,056","          1.90","34,577","35,796","          0.97"
"경상북도 경산시 (4729000000)","267,725","127,392","          2.10","134,746","132,979","          1.01"
"경상북도 군위군 (4772000000)","23,340","13,693","          1.70","11,969","11,371","          1.05"
"경상북도 의성군 (4773000000)","50,186","29,005","          1.73","24,709","25,477","          0.97"
"경상북도 청송군 (4775000000)","24,295","14,038","          1.73","12,168","12,127","          1.00"
"경상북도 영양군 (4776000000)","16,022","9,070","          1.77","7,997","8,025","          1.00"
"경상북도 영덕군 (4777000000)","34,650","19,741","          1.76","16,481","18,169","          0.91"
"경상북도 청도군 (4782000000)","41,614","23,443","          1.78","20,541","21,073","          0.97"
"경상북도 고령군 (4783000000)","30,353","16,758","          1.81","15,572","14,781","          1.05"
"경상북도 성주군 (4784000000)","42,566","23,918","          1.78","22,161","20,405","          1.09"
"경상북도 칠곡군 (4785000000)","112,487","54,443","          2.07","58,821","53,666","          1.10"
"경상북도 예천군 (4790000000)","55,755","28,155","          1.98","27,400","28,355","          0.97"
"경상북도 봉화군 (4792000000)","30,139","16,830","          1.79","15,295","14,844","          1.03"
"경상북도 울진군 (4793000000)","47,030","25,462","          1.85","23,687","23,343","          1.01"
"경상북도 울릉군 (4794000000)","8,996","5,479","          1.64","4,976","4,020","          1.24"
"경상남도  (4800000000)","3,280,493","1,516,930","          2.16","1,651,675","1,628,818","          1.01"
"경상남도 창원시 (4812000000)","1,021,487","456,191","          2.24","517,211","504,276","          1.03"
"경상남도 창원시 의창구 (4812100000)","215,823","96,712","          2.23","109,824","105,999","          1.04"
"경상남도 창원시 성산구 (4812300000)","248,512","106,194","          2.34","126,737","121,775","          1.04"
"경상남도 창원시 마산합포구 (4812500000)","179,496","84,722","          2.12","89,243","90,253","          0.99"
"경상남도 창원시 마산회원구 (4812700000)","183,662","82,697","          2.22","91,696","91,966","          1.00"
"경상남도 창원시 진해구 (4812900000)","193,994","85,866","          2.26","99,711","94,283","          1.06"
"경상남도 진주시 (4817000000)","343,782","158,827","          2.16","169,862","173,920","          0.98"
"경상남도 통영시 (4822000000)","122,681","59,506","          2.06","61,587","61,094","          1.01"
"경상남도 사천시 (4824000000)","109,369","54,395","          2.01","55,239","54,130","          1.02"
"경상남도 사천남양출장소 (4824500000)","0","0","          0.00","0","0","          0.00"
"경상남도 김해시 (4825000000)","535,129","228,540","          2.34","270,652","264,477","          1.02"
"경상남도 장유출장소 (4825200000)","0","0","          0.00","0","0","          0.00"
"경상남도 밀양시 (4827000000)","102,945","53,674","          1.92","50,636","52,309","          0.97"
"경상남도 거제시 (4831000000)","236,662","103,495","          2.29","123,712","112,950","          1.10"
"경상남도 양산시 (4833000000)","353,792","155,897","          2.27","177,238","176,554","          1.00"
"경상남도 양산시웅상출장소 (4833200000)","0","0","          0.00","0","0","          0.00"
"경상남도 의령군 (4872000000)","26,061","15,098","          1.73","12,893","13,168","          0.98"
"경상남도 함안군 (4873000000)","61,456","30,808","          1.99","31,371","30,085","          1.04"
"경상남도 창녕군 (4874000000)","58,372","32,198","          1.81","29,180","29,192","          1.00"
"경상남도 고성군 (4882000000)","50,448","26,564","          1.90","25,366","25,082","          1.01"
"경상남도 남해군 (4884000000)","41,579","22,774","          1.83","20,190","21,389","          0.94"
"경상남도 하동군 (4885000000)","42,465","23,675","          1.79","21,255","21,210","          1.00"
"경상남도 산청군 (4886000000)","34,028","19,576","          1.74","16,871","17,157","          0.98"
"경상남도 함양군 (4887000000)","37,708","20,868","          1.81","18,270","19,438","          0.94"
"경상남도 거창군 (4888000000)","60,387","30,659","          1.97","29,655","30,732","          0.96"
"경상남도 합천군 (4889000000)","42,142","24,185","          1.74","20,487","21,655","          0.95"
"제주특별자치도  (5000000000)","678,159","311,355","          2.18","339,590","338,569","          1.00"
"제주특별자치도 제주시 (5011000000)","493,389","222,599","          2.22","246,504","246,885","          1.00"
"제주특별자치도 서귀포시 (5013000000)","184,770","88,756","          2.08","93,086","91,684","          1.02"
